OpenTime,LTC-USD_Open,LTC-USD_High,LTC-USD_Low,LTC-USD_Close,LTC-USD_volume,CloseTime,LTC-QuoteAssetVolume,LTC-NumberOfTrades,LTC-TBBAV,LTC-TBQAV,LTC-ignore,ETC-USD_Open,ETC-USD_High,ETC-USD_Low,ETC-USD_Close,ETC-USD_volume,ETC-QuoteAssetVolume,ETC-NumberOfTrades,ETC-TBBAV,ETC-TBQAV,ETC-ignore,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
2021-06-25 05:30:00,134.59,134.97,134.59,134.9,1330.50954,2021-06-25 05:30:59.999,179296.21686,304.0,1079.62034,145474.3309623,0.0,43.156,43.463,43.149,43.388,5839.238,252916.400287,364.0,3511.118,152027.721781,0.0,34663.08,34737.92,34652.64,34694.73,60.355708,2094073.52773959,1756.0,37.781432,1311073.70637675,0.0
2021-06-25 05:31:00,134.95,135.24,134.61,134.74,1148.78968,2021-06-25 05:31:59.999,155016.2319455,424.0,505.54439,68226.4384916,0.0,43.387,43.402,42.932,42.961,6710.023,289331.500376,322.0,1071.703,46239.926303,0.0,34694.73,34705.23,34644.38,34650.02,38.973361,1351212.74917312,1127.0,15.397546,533928.76771969,0.0
2021-06-25 05:32:00,134.84,135.38,134.79,135.08,833.08859,2021-06-25 05:32:59.999,112620.4836035,196.0,519.39475,70219.8118077,0.0,42.927,43.31,42.926,43.239,7365.511,318170.115226,299.0,5563.883,240344.971125,0.0,34650.02,34766.24,34650.02,34747.66,57.884494,2010262.60851137,1506.0,36.222167,1257884.2447149,0.0
2021-06-25 05:33:00,135.09,135.37,134.92,135.32,207.9271,2021-06-25 05:33:59.999,28094.7509393,88.0,137.76685,18622.142594,0.0,43.22,43.569,43.157,43.569,4278.1,185806.221929,251.0,3036.128,131956.765424,0.0,34747.65,34785.71,34687.78,34785.08,45.268167,1572756.28751054,1155.0,14.450542,502066.42626297,0.0
2021-06-25 05:34:00,135.28,135.76,135.27,135.62,840.64928,2021-06-25 05:34:59.999,113921.2876964,352.0,528.4655,71584.058436,0.0,43.564,43.791,43.507,43.754,9293.506,406066.761447,458.0,3627.847,158351.178912,0.0,34784.24,34793.27,34760.79,34764.24,48.384268,1683140.58783064,846.0,25.756342,895940.26887352,0.0
2021-06-25 05:35:00,135.62,135.97,135.46,135.93,587.00538,2021-06-25 05:35:59.999,79643.2390219,233.0,282.14569,38277.9140177,0.0,43.76,43.93,43.649,43.915,6230.152,272803.004377,492.0,2422.894,106109.36436,0.0,34763.88,34791.99,34740.32,34789.13,41.290102,1435359.13807654,1030.0,27.916181,970507.56854283,0.0
2021-06-25 05:36:00,135.94,136.17,135.82,136.01,1072.50105,2021-06-25 05:36:59.999,145841.1459635,341.0,462.47947,62885.8914853,0.0,43.932,44.5,43.905,44.489,17065.885,754793.767943,1534.0,9764.477,431770.794417,0.0,34789.14,34852.04,34787.45,34831.05,123.753254,4310546.34856992,1753.0,41.063641,1430116.60431906,0.0
2021-06-25 05:37:00,136.01,136.47,136.01,136.47,563.93646,2021-06-25 05:37:59.999,76878.5758727,244.0,390.48243,53231.4717722,0.0,44.502,45.204,44.48,44.76,33414.63,1498187.546448,2501.0,15474.576,693947.454195,0.0,34829.47,34849.3,34810.0,34830.13,57.243058,1993981.46914792,1361.0,32.246737,1123282.62882747,0.0
2021-06-25 05:38:00,136.45,137.0,136.42,136.88,792.61219,2021-06-25 05:38:59.999,108383.7485091,584.0,435.01458,59490.8816616,0.0,44.764,45.204,44.705,45.123,20744.572,933186.616918,1152.0,12280.832,552469.005363,0.0,34830.14,34874.92,34824.02,34874.92,67.807733,2363285.74919013,1185.0,38.58932,1344762.64009139,0.0
2021-06-25 05:39:00,136.9,137.05,136.59,136.71,906.63705,2021-06-25 05:39:59.999,124068.2937664,544.0,518.08338,70913.4061407,0.0,45.127,45.424,44.84,44.863,15605.145,704627.081388,1070.0,6987.476,316143.214456,0.0,34874.92,34922.22,34874.91,34915.75,143.167527,4997394.13911886,2060.0,60.039029,2095600.22163554,0.0
2021-06-25 05:40:00,136.71,136.84,136.6,136.84,218.48537,2021-06-25 05:40:59.999,29869.1305109,89.0,135.23562,18487.7468368,0.0,44.847,45.303,44.811,45.122,13620.926,613700.164832,675.0,7681.352,346201.446401,0.0,34915.75,34919.4,34855.41,34878.89,91.227917,3182703.65347959,1174.0,21.799295,760393.00619255,0.0
2021-06-25 05:41:00,136.85,136.89,136.8,136.89,224.87129,2021-06-25 05:41:59.999,30773.7456794,81.0,60.45426,8274.0178151,0.0,45.132,45.154,44.858,44.95,7200.799,324176.830806,494.0,2158.784,97122.912652,0.0,34878.9,34882.58,34850.41,34866.63,54.713446,1907713.41268813,1191.0,11.879323,414141.38427002,0.0
2021-06-25 05:42:00,136.83,136.83,136.6,136.62,131.67508,2021-06-25 05:42:59.999,18005.0297426,72.0,44.92546,6143.0910616,0.0,44.95,44.984,44.638,44.68,4722.951,211585.469745,379.0,1274.29,57102.604536,0.0,34866.64,34866.64,34817.79,34819.45,49.727144,1732509.64379712,886.0,10.103364,351896.6713195,0.0
2021-06-25 05:43:00,136.61,136.87,136.58,136.66,1221.92735,2021-06-25 05:43:59.999,167110.4181378,183.0,1137.94865,155628.4398417,0.0,44.707,44.935,44.679,44.809,4641.68,208050.213183,249.0,3339.814,149682.614096,0.0,34819.44,34838.26,34800.0,34811.66,59.567769,2074443.84637584,910.0,20.874632,726925.79684317,0.0
